ID,date,sender,sender.carrier,receiver,receiver.carrier,length.call
1,1,681.469.9336,1,353.145.1968,3,21
2,1,681.469.9336,1,681.469.9722,1,20
3,1,681.469.9336,1,681.469.7527,1,19
4,1,681.469.9336,1,681.469.1081,1,18
5,1,681.469.9336,1,353.145.1968,3,20
6,1,681.469.9336,1,353.145.9029,3,20
7,1,681.469.9336,1,353.145.9242,3,1
8,1,681.469.5599,1,940.386.5860,2,20
9,1,681.469.5599,1,681.469.4840,1,15
10,1,681.469.5599,1,681.469.2926,1,17
11,1,681.469.5599,1,681.469.9336,1,23
12,1,681.469.5599,1,353.145.4761,3,26
13,1,681.469.5599,1,940.386.7033,2,1
14,1,681.469.7188,1,353.145.3797,3,30
15,1,681.469.7188,1,681.469.7087,1,14
16,1,681.469.7188,1,681.469.7087,1,1
17,1,681.469.7188,1,353.145.9242,3,25
18,1,681.469.7188,1,940.386.6876,2,18
19,1,681.469.3347,1,681.469.7527,1,18
20,1,681.469.3347,1,940.386.2494,2,28
21,1,681.469.3347,1,681.469.2663,1,22
22,1,681.469.3347,1,681.469.2555,1,19
23,1,681.469.3347,1,353.145.4761,3,1
24,1,681.469.3347,1,681.469.9951,1,16
25,1,681.469.3347,1,353.145.3797,3,25
26,1,681.469.4720,1,681.469.5704,1,16
27,1,681.469.4720,1,353.145.4761,3,1
28,1,681.469.5102,1,681.469.9336,1,31
29,1,681.469.5102,1,681.469.1081,1,16
30,1,681.469.5102,1,681.469.2555,1,29
31,1,681.469.6415,1,353.145.9029,3,19
32,1,681.469.6415,1,353.145.1303,3,1
33,1,681.469.6415,1,681.469.7160,1,25
34,1,681.469.6415,1,940.386.7033,2,1
35,1,681.469.6415,1,353.145.1669,3,18
36,1,681.469.6415,1,353.145.1669,3,27
37,1,681.469.2555,1,681.469.7576,1,22
38,1,681.469.2555,1,353.145.9453,3,20
39,1,681.469.3054,1,940.386.6876,2,21
40,1,681.469.3054,1,940.386.5914,2,27
41,1,681.469.3054,1,681.469.9951,1,23
42,1,681.469.4593,1,353.145.5686,3,1
43,1,681.469.4593,1,681.469.6415,1,25
44,1,681.469.4593,1,353.145.9066,3,26
45,1,681.469.4593,1,353.145.1968,3,27
46,1,681.469.4593,1,681.469.9951,1,34
47,1,681.469.4593,1,681.469.9378,1,31
48,1,681.469.4593,1,353.145.4644,3,25
49,1,681.469.4593,1,353.145.4644,3,32
50,1,681.469.2049,1,681.469.9951,1,22
51,1,681.469.2049,1,353.145.4761,3,31
52,1,681.469.2049,1,353.145.5686,3,1
53,1,681.469.2049,1,353.145.1968,3,23
54,1,681.469.2049,1,681.469.5599,1,21
55,1,681.469.2049,1,353.145.7916,3,1
56,1,681.469.2049,1,353.145.1968,3,22
57,1,681.469.7877,1,681.469.2049,1,26
58,1,681.469.7877,1,353.145.4761,3,18
59,1,681.469.7877,1,681.469.2926,1,18
60,1,681.469.7877,1,681.469.7576,1,36
61,1,681.469.7877,1,353.145.4761,3,33
62,1,681.469.7877,1,681.469.9336,1,34
63,1,681.469.7877,1,681.469.9722,1,1
64,1,681.469.7877,1,681.469.2926,1,26
65,1,681.469.7877,1,353.145.5686,3,1
66,1,681.469.7877,1,353.145.8175,3,1
67,1,681.469.7877,1,681.469.9951,1,1
68,1,681.469.1366,1,353.145.3797,3,24
69,1,681.469.1366,1,681.469.2926,1,1
70,1,681.469.1366,1,681.469.7087,1,22
71,1,681.469.2663,1,681.469.7188,1,1
72,1,681.469.2663,1,681.469.2926,1,23
73,1,681.469.2663,1,353.145.4306,3,32
74,1,681.469.2663,1,353.145.9242,3,1
75,1,681.469.2663,1,353.145.7916,3,23
76,1,681.469.2663,1,681.469.7576,1,26
77,1,681.469.1081,1,353.145.9029,3,26
78,1,681.469.1081,1,681.469.4840,1,1
79,1,681.469.1081,1,353.145.8454,3,28
80,1,681.469.1081,1,353.145.7916,3,1
81,1,681.469.1081,1,681.469.7188,1,1
82,1,681.469.7527,1,681.469.7087,1,23
83,1,681.469.7527,1,353.145.9242,3,23
84,1,681.469.7527,1,353.145.8454,3,44
85,1,681.469.1390,1,353.145.1968,3,35
86,1,681.469.1390,1,681.469.5012,1,1
87,1,681.469.1390,1,681.469.7576,1,1
88,1,681.469.1390,1,681.469.7576,1,22
89,1,681.469.1390,1,681.469.2555,1,1
90,1,681.469.1390,1,353.145.3797,3,38
91,1,681.469.1390,1,353.145.9242,3,22
92,1,681.469.5704,1,353.145.3797,3,33
93,1,681.469.5704,1,681.469.4840,1,24
94,1,681.469.5704,1,681.469.1081,1,31
95,1,681.469.5704,1,681.469.5012,1,1
96,1,681.469.5704,1,353.145.7916,3,1
97,1,681.469.5704,1,681.469.3347,1,28
98,1,681.469.5704,1,353.145.9453,3,16
99,1,681.469.5704,1,681.469.4720,1,19
100,1,681.469.9378,1,353.145.8454,3,37
101,1,681.469.9378,1,353.145.1303,3,21
102,1,681.469.9378,1,681.469.7576,1,30
103,1,681.469.9378,1,681.469.7087,1,21
104,1,681.469.9378,1,353.145.4306,3,34
105,1,681.469.9378,1,353.145.4644,3,24
106,1,681.469.2926,1,353.145.1303,3,23
107,1,681.469.2926,1,353.145.9242,3,14
108,1,681.469.2926,1,681.469.1081,1,33
109,1,681.469.2926,1,940.386.2494,2,22
110,1,681.469.2926,1,353.145.8454,3,26
111,1,681.469.2926,1,681.469.9951,1,27
112,1,681.469.2926,1,353.145.4761,3,16
113,1,681.469.9951,1,353.145.5686,3,1
114,1,681.469.9951,1,353.145.3797,3,13
115,1,681.469.9951,1,681.469.1366,1,26
116,1,681.469.9951,1,353.145.8175,3,28
117,1,681.469.9951,1,940.386.5914,2,1
118,1,681.469.5012,1,353.145.9242,3,33
119,1,681.469.5012,1,353.145.1968,3,21
120,1,681.469.5012,1,681.469.5704,1,1
121,1,681.469.5012,1,353.145.9029,3,21
122,1,681.469.5012,1,681.469.2049,1,23
123,1,681.469.3534,1,940.386.7033,2,28
124,1,681.469.3534,1,681.469.7527,1,26
125,1,681.469.3534,1,681.469.7087,1,19
126,1,681.469.3534,1,681.469.5012,1,31
127,1,681.469.3534,1,353.145.8454,3,29
128,1,681.469.9722,1,353.145.4306,3,26
129,1,681.469.9722,1,681.469.1081,1,1
130,1,681.469.9722,1,353.145.2037,3,21
131,1,681.469.9722,1,681.469.1390,1,1
132,1,681.469.7087,1,353.145.5686,3,25
133,1,681.469.7087,1,353.145.4761,3,31
134,1,681.469.7087,1,681.469.1081,1,23
135,1,681.469.7087,1,681.469.9951,1,29
136,1,681.469.7087,1,681.469.5704,1,16
137,1,681.469.7087,1,681.469.2049,1,33
138,1,681.469.8025,1,353.145.9029,3,17
139,1,681.469.8025,1,940.386.4189,2,22
140,1,681.469.8025,1,681.469.9722,1,1
141,1,681.469.7576,1,353.145.9242,3,28
142,1,681.469.7576,1,353.145.1968,3,27
143,1,681.469.7576,1,940.386.7868,2,21
144,1,681.469.7576,1,353.145.1669,3,21
145,1,681.469.7576,1,681.469.6415,1,13
146,1,681.469.7576,1,681.469.3347,1,22
147,1,681.469.7576,1,353.145.1669,3,1
148,1,681.469.7576,1,940.386.5860,2,1
149,1,681.469.7576,1,681.469.9336,1,20
150,1,681.469.7576,1,681.469.2049,1,26
151,1,681.469.1408,1,681.469.5704,1,20
152,1,681.469.1408,1,353.145.8406,3,26
153,1,681.469.1408,1,940.386.4189,2,18
154,1,681.469.1408,1,681.469.1081,1,1
155,1,681.469.1408,1,353.145.8454,3,1
156,1,681.469.1408,1,353.145.1968,3,31
157,1,681.469.1408,1,681.469.3347,1,20
158,1,681.469.1408,1,681.469.7576,1,19
159,1,681.469.1408,1,940.386.5914,2,26
160,1,681.469.1408,1,681.469.7576,1,20
161,1,681.469.7160,1,681.469.9378,1,21
162,1,681.469.7160,1,940.386.1402,2,36
163,1,681.469.7160,1,353.145.1968,3,26
164,1,681.469.7160,1,353.145.8175,3,28
165,1,681.469.7160,1,353.145.8454,3,20
166,1,681.469.7160,1,353.145.9029,3,27
167,1,940.386.7033,2,940.386.1402,2,21
168,1,940.386.7033,2,353.145.4761,3,18
169,1,940.386.7033,2,353.145.8406,3,32
170,1,940.386.7033,2,353.145.1968,3,1
171,1,940.386.7033,2,681.469.9336,1,36
172,1,940.386.7033,2,681.469.5012,1,22
173,1,940.386.7033,2,353.145.4644,3,28
174,1,940.386.7033,2,681.469.4840,1,20
175,1,940.386.7033,2,353.145.4761,3,21
176,1,940.386.7033,2,353.145.9029,3,25
177,1,940.386.5914,2,940.386.2494,2,23
178,1,940.386.5914,2,681.469.3534,1,1
179,1,940.386.5914,2,681.469.2049,1,27
180,1,940.386.5914,2,681.469.7087,1,25
181,1,940.386.7868,2,681.469.8025,1,28
182,1,940.386.7868,2,353.145.4644,3,27
183,1,940.386.7868,2,681.469.9722,1,26
184,1,940.386.1085,2,353.145.4761,3,13
185,1,940.386.1085,2,940.386.7868,2,31
186,1,940.386.1085,2,353.145.1669,3,22
187,1,940.386.1085,2,940.386.4189,2,1
188,1,940.386.1085,2,353.145.1968,3,1
189,1,940.386.1085,2,940.386.7033,2,1
190,1,940.386.1085,2,353.145.4761,3,17
191,1,940.386.1085,2,681.469.6415,1,29
192,1,940.386.1085,2,681.469.9722,1,16
193,1,940.386.1085,2,681.469.7576,1,31
194,1,940.386.1085,2,353.145.1968,3,31
195,1,940.386.1085,2,681.469.7576,1,1
196,1,940.386.2494,2,681.469.7527,1,23
197,1,940.386.2494,2,940.386.6876,2,30
198,1,940.386.2494,2,681.469.3347,1,1
199,1,940.386.2494,2,940.386.5860,2,27
200,1,940.386.2494,2,940.386.4189,2,1
201,1,940.386.2494,2,940.386.7033,2,25
202,1,940.386.2494,2,353.145.9453,3,21
203,1,940.386.6607,2,353.145.4644,3,1
204,1,940.386.6607,2,353.145.7916,3,17
205,1,940.386.6607,2,681.469.7188,1,1
206,1,940.386.6607,2,681.469.7576,1,18
207,1,940.386.6607,2,353.145.7916,3,19
208,1,940.386.6876,2,681.469.9722,1,1
209,1,940.386.6876,2,940.386.2494,2,1
210,1,940.386.6876,2,353.145.7916,3,23
211,1,940.386.6876,2,353.145.8454,3,22
212,1,940.386.6876,2,681.469.2926,1,18
213,1,940.386.4189,2,353.145.3797,3,24
214,1,940.386.4189,2,353.145.8175,3,1
215,1,940.386.4189,2,353.145.9453,3,20
216,1,940.386.4189,2,940.386.2494,2,21
217,1,940.386.4189,2,353.145.3797,3,21
218,1,940.386.4189,2,353.145.4644,3,1
219,1,940.386.4189,2,353.145.2037,3,1
220,1,940.386.1402,2,353.145.1968,3,29
221,1,940.386.1402,2,940.386.5914,2,36
222,1,940.386.1402,2,353.145.9453,3,28
223,1,940.386.1402,2,681.469.3347,1,37
224,1,940.386.1402,2,940.386.7033,2,1
225,1,940.386.1402,2,353.145.1669,3,24
226,1,940.386.5860,2,353.145.4761,3,31
227,1,940.386.5860,2,940.386.6876,2,21
228,1,940.386.5860,2,353.145.9453,3,32
229,1,940.386.5860,2,681.469.2926,1,1
230,1,940.386.5860,2,353.145.9029,3,1
231,1,940.386.5860,2,681.469.2926,1,11
232,1,353.145.5686,3,681.469.5704,1,21
233,1,353.145.5686,3,681.469.9951,1,24
234,1,353.145.5686,3,681.469.3347,1,1
235,1,353.145.5686,3,681.469.7160,1,20
236,1,353.145.4761,3,940.386.5860,2,32
237,1,353.145.4761,3,353.145.7916,3,28
238,1,353.145.4761,3,353.145.9453,3,13
239,1,353.145.9453,3,353.145.2037,3,29
240,1,353.145.9453,3,940.386.5914,2,35
241,1,353.145.9453,3,681.469.7527,1,28
242,1,353.145.9453,3,353.145.9029,3,31
243,1,353.145.9453,3,353.145.4306,3,16
244,1,353.145.9453,3,681.469.9951,1,1
245,1,353.145.9453,3,681.469.3347,1,1
246,1,353.145.6110,3,681.469.2049,1,21
247,1,353.145.6110,3,940.386.4189,2,23
248,1,353.145.6110,3,353.145.2037,3,25
249,1,353.145.6110,3,681.469.7527,1,32
250,1,353.145.6110,3,681.469.7188,1,18
251,1,353.145.6110,3,681.469.7527,1,1
252,1,353.145.8406,3,353.145.8454,3,23
253,1,353.145.8406,3,681.469.7527,1,18
254,1,353.145.8406,3,353.145.1669,3,26
255,1,353.145.8406,3,353.145.9242,3,1
256,1,353.145.9474,3,353.145.9242,3,37
257,1,353.145.9474,3,681.469.5012,1,31
258,1,353.145.9474,3,681.469.7576,1,21
259,1,353.145.9474,3,940.386.1402,2,25
260,1,353.145.9474,3,940.386.1402,2,35
261,1,353.145.9474,3,353.145.9453,3,1
262,1,353.145.9242,3,681.469.7188,1,36
263,1,353.145.9242,3,681.469.9722,1,36
264,1,353.145.9242,3,681.469.7188,1,31
265,1,353.145.9242,3,353.145.4306,3,16
266,1,353.145.1303,3,940.386.5914,2,1
267,1,353.145.1303,3,353.145.4306,3,26
268,1,353.145.1303,3,681.469.7527,1,28
269,1,353.145.1303,3,353.145.1669,3,12
270,1,353.145.1303,3,681.469.9951,1,21
271,1,353.145.1303,3,681.469.5102,1,26
272,1,353.145.1303,3,940.386.6876,2,25
273,1,353.145.1303,3,681.469.1390,1,33
274,1,353.145.3797,3,681.469.2049,1,18
275,1,353.145.3797,3,681.469.4840,1,29
276,1,353.145.3797,3,681.469.7576,1,25
277,1,353.145.3797,3,940.386.7868,2,18
278,1,353.145.3797,3,681.469.4720,1,1
279,1,353.145.3797,3,940.386.5914,2,22
280,1,353.145.3797,3,353.145.2037,3,1
281,1,353.145.3797,3,681.469.7576,1,19
282,1,353.145.3797,3,681.469.6415,1,26
283,1,353.145.3797,3,940.386.7868,2,31
284,1,353.145.3797,3,940.386.1402,2,24
285,1,353.145.1968,3,681.469.7527,1,20
286,1,353.145.1968,3,681.469.9722,1,1
287,1,353.145.1968,3,681.469.7188,1,1
288,1,353.145.1669,3,940.386.1085,2,20
289,1,353.145.1669,3,353.145.8175,3,21
290,1,353.145.1669,3,940.386.6876,2,27
291,1,353.145.1669,3,681.469.2555,1,1
292,1,353.145.8454,3,681.469.2926,1,29
293,1,353.145.8454,3,353.145.5686,3,24
294,1,353.145.8454,3,353.145.4306,3,46
295,1,353.145.8454,3,353.145.1968,3,23
296,1,353.145.8454,3,681.469.7087,1,1
297,1,353.145.8454,3,681.469.7160,1,1
298,1,353.145.8454,3,681.469.5102,1,1
299,1,353.145.8454,3,353.145.9029,3,29
300,1,353.145.8454,3,940.386.7033,2,17
301,1,353.145.4306,3,940.386.7868,2,13
302,1,353.145.4306,3,353.145.1968,3,1
303,1,353.145.4306,3,681.469.2926,1,19
304,1,353.145.4306,3,681.469.9722,1,18
305,1,353.145.4306,3,681.469.5102,1,22
306,1,353.145.4306,3,353.145.7916,3,24
307,1,353.145.2037,3,681.469.2926,1,25
308,1,353.145.2037,3,353.145.4306,3,21
309,1,353.145.2037,3,353.145.1669,3,1
